tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
18000-7-TX7 >12 - 24,18000-7-TX7 >12 - 24-1,18000-7-TX7 >12 - 24-1,18000-7-TX7 >12 - 24-1,yes,23.2,Female,1,1,,,18000-7-TX7 >12 - 24-1,TX7-7 Vav-cre; Brca1f/+ post-43 days CY >12 - 24,2/5/16,18000-7-TX7,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,8/26/15,6.3,2.31,3.73,0.21,,8.72,12.7,42.6,48.9,14.6,29.8,20.2,1371,4.7,CY Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,52,CY Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18000-7-TX7
18102-7-TX7 >12 - 24,18102-7-TX7 >12 - 24-1,18102-7-TX7 >12 - 24-1,18102-7-TX7 >12 - 24-1,yes,23.2,Female,1,1,,,18102-7-TX7 >12 - 24-1,TX7-7 WT post-43 days CY >12 - 24,2/5/16,18102-7-TX7,TX7-7 WT post-43 days CY,8/26/15,4.46,1.23,2.91,0.16,,6.78,9.2,31.3,46.1,13.6,29.4,20,814,4.8,CY Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18102-7-TX7
18169-7-TX7 >12 - 24,18169-7-TX7 >12 - 24-1,18169-7-TX7 >12 - 24-1,18169-7-TX7 >12 - 24-1,yes,21.1,Female,1,1,,,18169-7-TX7 >12 - 24-1,TX7-7 WT post-43 days CY >12 - 24,2/5/16,18169-7-TX7,TX7-7 WT post-43 days CY,9/10/15,7.78,3.1,4.42,0.24,,8.34,11.2,36.4,43.7,13.4,30.8,21.4,1543,4,CY Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18169-7-TX7
18170-8-TX8 >12 - 24,18170-8-TX8 >12 - 24-1,18170-8-TX8 >12 - 24-1,18170-8-TX8 >12 - 24-1,yes,21.1,Female,1,1,,,18170-8-TX8 >12 - 24-1,TX8-8 Vav-cre; Brca1f/+ post-28 days CY >12 - 24,2/5/16,18170-8-TX8,TX8-8 Vav-cre; Brca1f/+ post-28 days CY,9/10/15,7.24,1.59,5.34,0.3,,9.37,13.6,44.8,47.8,14.5,30.4,17.7,1002,4.3,CY Experiment #2 ,CY,28,,CY Experiment #2 ,42405,,18170-8-TX8
18171-8-TX8 >12 - 24,18171-8-TX8 >12 - 24-1,18171-8-TX8 >12 - 24-1,18171-8-TX8 >12 - 24-1,yes,21.1,Female,1,1,,,18171-8-TX8 >12 - 24-1,TX8-8 Vav-cre; Brca1f/+ post-28 days CY >12 - 24,2/5/16,18171-8-TX8,TX8-8 Vav-cre; Brca1f/+ post-28 days CY,9/10/15,6.8,1.46,5.05,0.23,,8.3,11.5,37.3,44.9,13.9,30.8,17.4,791,4.6,CY Experiment #2 ,CY,28,,CY Experiment #2 ,42405,,18171-8-TX8
18329-7-TX7 >12 - 24,18329-7-TX7 >12 - 24-1,18329-7-TX7 >12 - 24-1,18329-7-TX7 >12 - 24-1,yes,17.7,Male,1,1,,,18329-7-TX7 >12 - 24-1,TX7-7 Brca15382insC/+ post-43 days CY >12 - 24,2/5/16,18329-7-TX7,TX7-7 Brca15382insC/+ post-43 days CY,10/4/15,5.66,2.14,3.1,0.28,,7.68,10.4,37,48.2,13.5,28.1,19.6,1140,4.7,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,53,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18329-7-TX7
18330-7-TX7 >12 - 24,18330-7-TX7 >12 - 24-1,18330-7-TX7 >12 - 24-1,18330-7-TX7 >12 - 24-1,yes,16.8,Female,1,1,,,18330-7-TX7 >12 - 24-1,TX7-7 WT post-43 days CY >12 - 24,2/5/16,18330-7-TX7,TX7-7 WT post-43 days CY,10/10/15,10.92,6.55,4.03,0.28,,7.72,10.9,38.8,50.2,14.1,28.1,18.1,1278,4.3,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18330-7-TX7
18365-7-TX7 >12 - 24,18365-7-TX7 >12 - 24-1,18365-7-TX7 >12 - 24-1,18365-7-TX7 >12 - 24-1,yes,16,Female,1,1,,,18365-7-TX7 >12 - 24-1,TX7-7 Brca15382insC/+ post-43 days CY >12 - 24,2/5/16,18365-7-TX7,TX7-7 Brca15382insC/+ post-43 days CY,10/16/15,5.88,2.36,3.2,0.32,,7.99,11.5,43.5,54.5,14.4,26.4,19.9,934,4.5,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18365-7-TX7
18366-7-TX7 >12 - 24,18366-7-TX7 >12 - 24-1,18366-7-TX7 >12 - 24-1,18366-7-TX7 >12 - 24-1,yes,16,Female,1,1,,,18366-7-TX7 >12 - 24-1,TX7-7 Brca15382insC/+ post-43 days CY >12 - 24,2/5/16,18366-7-TX7,TX7-7 Brca15382insC/+ post-43 days CY,10/16/15,5.58,1.74,3.58,0.22,,8.1,11.7,39.4,48.7,14.4,29.7,22.7,1073,4.7,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18366-7-TX7
18367-8-TX8 >12 - 24,18367-8-TX8 >12 - 24-1,18367-8-TX8 >12 - 24-1,18367-8-TX8 >12 - 24-1,yes,16,Female,1,1,,,18367-8-TX8 >12 - 24-1,TX8-8 Vav-cre; Brca1f/+ post-28 days CY >12 - 24,2/5/16,18367-8-TX8,TX8-8 Vav-cre; Brca1f/+ post-28 days CY,10/16/15,6.52,1.82,4.52,0.17,,9.55,13.4,46.3,48.5,14,28.9,17.4,1066,4,CY Experiment #2 ,CY,28,,CY Experiment #2 ,42405,,18367-8-TX8
18368-7-TX7 >12 - 24,18368-7-TX7 >12 - 24-1,18368-7-TX7 >12 - 24-1,18368-7-TX7 >12 - 24-1,yes,16,Female,1,1,,,18368-7-TX7 >12 - 24-1,TX7-7 Brca15382insC/+ post-43 days CY >12 - 24,2/5/16,18368-7-TX7,TX7-7 Brca15382insC/+ post-43 days CY,10/16/15,9.5,3.93,5.27,0.28,,9.21,13.3,45.6,49.5,14.4,29.2,20.7,1112,4.2,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18368-7-TX7
18424-7-TX7 >12 - 24,18424-7-TX7 >12 - 24-1,18424-7-TX7 >12 - 24-1,18424-7-TX7 >12 - 24-1,yes,15.4,Male,1,1,,,18424-7-TX7 >12 - 24-1,TX7-7 WT post-43 days CY >12 - 24,2/5/16,18424-7-TX7,TX7-7 WT post-43 days CY,10/20/15,9.76,5.11,4.27,0.37,,9.33,13.7,51.9,55.6,14.7,26.4,18.4,1096,3.9,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18424-7-TX7
18434-7-TX7 >12 - 24,18434-7-TX7 >12 - 24-1,18434-7-TX7 >12 - 24-1,18434-7-TX7 >12 - 24-1,yes,15.1,Female,1,1,,,18434-7-TX7 >12 - 24-1,TX7-7 Vav-cre; Brca1f/+ post-43 days CY >12 - 24,2/5/16,18434-7-TX7,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,10/22/15,8.22,3.45,4.4,0.31,,8.84,12.9,43.1,48.7,14.6,29.9,20.2,1126,4.5,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18434-7-TX7
18436-7-TX7 >12 - 24,18436-7-TX7 >12 - 24-1,18436-7-TX7 >12 - 24-1,18436-7-TX7 >12 - 24-1,yes,15.1,Female,1,1,,,18436-7-TX7 >12 - 24-1,TX7-7 Vav-cre; Brca1f/+ post-43 days CY >12 - 24,2/5/16,18436-7-TX7,TX7-7 Vav-cre; Brca1f/+ post-43 days CY,10/22/15,11.02,5.19,5.19,0.43,,10.29,11.8,50.9,49.5,11.5,23.2,25.2,1303,4.9,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18436-7-TX7
18642-7-TX7 >8 - 12,18642-7-TX7 >8 - 12-1,18642-7-TX7 >8 - 12-1,18642-7-TX7 >8 - 12-1,yes,11.2,Female,1,1,,,18642-7-TX7 >8 - 12-1,TX7-7 WT post-43 days CY >8 - 12,2/5/16,18642-7-TX7,TX7-7 WT post-43 days CY,11/18/15,5.64,1.75,3.59,0.26,,7.68,11.8,41.2,53.6,15.4,28.6,22.3,642,4.7,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18642-7-TX7
18643-7-TX7 >8 - 12,18643-7-TX7 >8 - 12-1,18643-7-TX7 >8 - 12-1,18643-7-TX7 >8 - 12-1,yes,11.2,Female,1,1,,,18643-7-TX7 >8 - 12-1,TX7-7 Vav-cre; Brca1f/+  post-43 days CY >8 - 12,2/5/16,18643-7-TX7,TX7-7 Vav-cre; Brca1f/+  post-43 days CY,11/18/15,6.88,2.53,4.11,0.21,,8.2,12.3,43.8,53.4,15,28.1,23.9,930,4,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18643-7-TX7
18646-7-TX7 >8 - 12,18646-7-TX7 >8 - 12-1,18646-7-TX7 >8 - 12-1,18646-7-TX7 >8 - 12-1,yes,11.2,Male,1,1,,,18646-7-TX7 >8 - 12-1,TX7-7 Vav-cre; Brca1f/+  post-43 days CY >8 - 12,2/5/16,18646-7-TX7,TX7-7 Vav-cre; Brca1f/+  post-43 days CY,11/18/15,3.98,1.81,2.1,0.06,,8.82,12.2,41.5,47.1,13.8,29.4,19.9,868,3.8,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18646-7-TX7
18649-7-TX7 >8 - 12,18649-7-TX7 >8 - 12-1,18649-7-TX7 >8 - 12-1,18649-7-TX7 >8 - 12-1,yes,11.7,Female,1,1,,,18649-7-TX7 >8 - 12-1,TX7-7 Vav-cre; Brca1f/+  post-43 days CY >8 - 12,2/5/16,18649-7-TX7,TX7-7 Vav-cre; Brca1f/+  post-43 days CY,11/15/15,7.32,1.92,4.86,0.48,,6.82,10.5,35,51.3,15.4,30,20.8,706,4.3,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18649-7-TX7
18652-7-TX7 >8 - 12,18652-7-TX7 >8 - 12-1,18652-7-TX7 >8 - 12-1,18652-7-TX7 >8 - 12-1,yes,11.7,Male,1,1,,,18652-7-TX7 >8 - 12-1,TX7-7 WT post-43 days CY >8 - 12,2/5/16,18652-7-TX7,TX7-7 WT post-43 days CY,11/15/15,7.86,2.43,5.13,0.21,,9.95,13.3,44,44.2,13.4,30.2,18.5,1201,4.2,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),CY,43,,CY treatment mice - Experiment 1 - Day 43 overall (retreated with CY 1/13/16),42405,,18652-7-TX7
18656-8-TX8 >8 - 12,18656-8-TX8 >8 - 12-1,18656-8-TX8 >8 - 12-1,18656-8-TX8 >8 - 12-1,yes,11.8,Male,1,1,,,18656-8-TX8 >8 - 12-1,TX8-8 Vav-cre; Brca1f/+  post-28 days CY >8 - 12,2/5/16,18656-8-TX8,TX8-8 Vav-cre; Brca1f/+  post-28 days CY,11/14/15,7.86,3.39,4.16,0.26,,7.71,11.4,42.6,55.2,14.8,26.8,17.6,1224,4.1,CY Experiment #2 ,CY,28,,CY Experiment #2 ,42405,,18656-8-TX8
18681-7-TX7 >8 - 12,18681-7-TX7 >8 - 12-1,18681-7-TX7 >8 - 12-1,18681-7-TX7 >8 - 12-1,yes,10.8,Female,1,1,,,18681-7-TX7 >8 - 12-1,TX7-7 Vav-cre; Brca1f/+  post-43 days CY >8 - 12,2/5/16,18681-7-TX7,TX7-7 Vav-cre; Brca1f/+  post-43 days CY,11/21/15,5.52,2.18,3.18,0.12,,8.04,12.2,45.3,56.3,15.2,26.9,18.3,810,4.3,CY Experiment 1 - Day 43 ,CY,43,54,CY Experiment 1 - Day 43 ,42405,,18681-7-TX7
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18909-8-TX8,TX8-8 WT post-28 days saline,-,10.22,1.55,8.39,0.24,,9.99,14.3,45.1,45.1,14.3,31.7,17.8,979,3.9,CY Experiment #2 - Day 29,saline,28,55,CY Experiment #2 - Day 29,42405,,18909-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18910-8-TX8,TX8-8 WT post-28 days saline,-,9.24,1.37,7.74,0.12,,9.85,13.9,45.6,46.3,14.1,30.5,18.3,932,3.8,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18910-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18911-8-TX8,TX8-8 WT post-28 days saline,-,10.44,1.41,8.83,0.16,,8.69,12.1,39.6,45.6,13.9,30.6,18.4,743,4.3,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18911-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18912-8-TX8,TX8-8 WT post-28 days saline,-,13,1.82,10.87,0.3,,10.26,13.9,46.2,45,13.5,30.1,17.4,1011,3.9,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18912-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18913-8-TX8,TX8-8 WT post-28 days saline,-,10.96,1.85,8.81,0.22,,8.64,11.5,38.5,44.6,13.3,29.9,17,864,4.2,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18913-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18929-8-TX8,TX8-8 WT post-28 days saline,-,8.2,2.1,5.93,0.14,,10.03,13.4,45.4,45.3,13.4,29.5,18.2,1213,4.3,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18929-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18930-8-TX8,TX8-8 WT post-28 days saline,-,8.8,1.69,6.85,0.24,,9.61,12.8,44.7,46.5,13.3,28.6,19.4,830,4.3,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18930-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18931-8-TX8,TX8-8 WT post-28 days saline,-,4.42,0.87,3.41,0.11,,7.34,9.6,32.1,43.8,13.1,29.9,16.9,543,4.7,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18931-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18932-8-TX8,TX8-8 WT post-28 days saline,-,9.5,1.45,7.77,0.24,,8.87,12,39.5,44.5,13.5,30.4,18.1,763,4.2,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18932-8-TX8
,,,,,,,,,,,,TX8-8 WT post-28 days saline,2/5/16,18933-8-TX8,TX8-8 WT post-28 days saline,-,8.84,1.31,7.21,0.3,,8.78,11.6,39.7,45.2,13.2,29.2,20,851,4.3,CY Experiment #2 - Day 29,saline,28,,CY Experiment #2 - Day 29,42405,,18933-8-TX8
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,33.2,,,,,,,Vav-cre; Brca15382insC/+,2/8/16,17539,Vav-cre; Brca15382insC/+,6/20/15,7.96,1.26,6.28,0.25,,8.98,13,46.3,51.6,14.5,28.1,20.4,917,4,Notes,#N/A,#N/A,,Notes,42408,,
,,,,,30.8,,,,,,,WT (pure),2/8/16,17741,WT,7/7/15,7.56,1.88,5.39,0.29,,9.48,14.2,44.4,46.8,15,32,19.9,931,4.2,Notes,#N/A,#N/A,,Notes,42408,,
,,,,,30.8,,,,,,,WT (pure),2/8/16,17743,WT,7/7/15,9.74,1.98,7.5,0.25,,9.61,13.6,42.3,44,14.2,32.2,18.2,925,4.1,Notes,#N/A,#N/A,,Notes,42408,,
,,,,,30.8,,,,,,,vav-cre,2/8/16,17744,Vav-cre,7/7/15,7.36,1.83,5.34,0.18,,9.87,13.7,44.1,44.7,13.9,31.1,18.5,937,4.3,Notes,#N/A,#N/A,,Notes,42408,,
18001 -4-8,18001 -4-8-1,18001 -4-8-1,18001 -4-8-1,yes,6.2,Female,1,1,,,18001 -4-8-1,Vav-cre; Brca15382insC/+ -4-8,2/8/16,18001,Vav-cre; Brca15382insC/+,12/26/15,9.04,1.54,7.16,0.34,,9.99,14.8,50,50,14.8,29.6,18.4,920,3.9,Notes,#N/A,#N/A,,Notes,42408,,18001
18039 -4-8,18039 -4-8-1,,18039 -4-8-1,yes,6,Male,1,2,,,18039 -4-8-1,WT (pure) -4-8,2/8/16,18039,WT,12/28/15,7.62,3.6,3.43,0.42,,7.92,12.6,41.5,52.4,15.9,30.4,20,684,4.5,Notes,#N/A,#N/A,,Notes,42408,,18039
18040 -4-8,18040 -4-8-1,,18040 -4-8-1,yes,6,Male,1,2,,,18040 -4-8-1,Vav-cre; Brca15382insC/+ -4-8,2/8/16,18040,Vav-cre; Brca15382insC/+,12/28/15,4.24,1.15,2.87,0.18,,7.51,13,36.9,49.2,17.3,35.2,19.7,680,4.2,Notes,#N/A,#N/A,,Notes,42408,,18040
18042 -4-8,18042 -4-8-1,,18042 -4-8-1,yes,6,Male,1,2,,,18042 -4-8-1,Vav-cre; Brca15382insC/+ -4-8,2/8/16,18042,Vav-cre; Brca15382insC/+,12/28/15,7.18,2.32,4.39,0.47,,9.64,14.1,47.4,49.2,14.6,29.7,19.5,1030,4,Notes,#N/A,#N/A,,Notes,42408,,18042
18227 >12 - 24,18227 >12 - 24-3,18227 >12 - 24-3,,yes,19,Male,3,3,,,,Vav-cre; Brca1f/5382insC >12 - 24,2/8/16,18227,Vav-cre; Brca1f/5382insC,9/28/15,9.72,2.73,6.67,0.26,,8.12,12.6,38.7,47.7,15.5,32.6,18.2,476,4.3,Motlu/+ mating,#N/A,#N/A,56,Motlu/+ mating,42408,,
18229 >12 - 24,18229 >12 - 24-3,18229 >12 - 24-3,,yes,19,Male,3,3,,,,Vav-cre; Brca1f/f (pure) >12 - 24,2/8/16,18229,Vav-cre; Brca1f/f,9/28/15,9.12,1.97,6.8,0.34,,9.75,14.1,44.4,45.5,14.5,31.8,19.5,795,4.1,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18382 >12 - 24,18382 >12 - 24-2,18382 >12 - 24-2,,yes,15.8,Male,2,2,,,,Vav-cre; Brca1f/5382insC >12 - 24,2/8/16,18382,Vav-cre; Brca1f/5382insC,10/20/15,7.68,2.03,5.33,0.32,,9.76,13.6,43.9,45,13.9,31,19.6,1160,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18383 >12 - 24,18383 >12 - 24-2,18383 >12 - 24-2,,yes,15.8,Male,2,2,,,,Vav-cre; Brca1f/5382insC >12 - 24,2/8/16,18383,Vav-cre; Brca1f/5382insC,10/20/15,9.8,2.18,7.32,0.26,,10.8,14.6,45.3,41.9,13.5,32.2,20.6,571,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18388 >12 - 24,18388 >12 - 24-2,18388 >12 - 24-2,,yes,15.8,Female,2,2,,,,vav-cre; brca1f/+ (pure) >12 - 24,2/8/16,18388,Vav-cre; Brca1f/+,10/20/15,7.88,1.72,5.83,0.31,,10.3,15,46.7,45.3,14.6,32.1,17.6,856,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18389 >12 - 24,18389 >12 - 24-2,,,yes,15.8,Female,2,3,,,,vav-cre >12 - 24,2/8/16,18389,Vav-cre,10/20/15,9.12,2.25,6.64,0.22,,9.1,13.3,42.7,46.9,14.6,31.1,17.1,876,3.9,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18391 >12 - 24,18391 >12 - 24-2,,,yes,15.8,Female,2,3,,,,Vav-cre; Brca1f/f (pure) >12 - 24,2/8/16,18391,Vav-cre; Brca1f/f,10/20/15,2.66,0.57,1.91,0.17,,6.87,11.3,39,56.8,16.4,29,19.2,842,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18676 >12 - 24,18676 >12 - 24-1,18676 >12 - 24-1,18676 >12 - 24-1,yes,12.4,Female,1,1,,,18676 >12 - 24-1,Vav-cre; Brca1f/f (pure) >12 - 24,2/8/16,18676,Vav-cre; Brca1f/f,11/13/15,4.08,0.53,3.31,0.16,,4.08,5.7,18.2,44.6,14,31.3,17.3,244,4.2,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18678 >12 - 24,18678 >12 - 24-1,18678 >12 - 24-1,18678 >12 - 24-1,yes,12.4,Female,1,1,,,18678 >12 - 24-1,Vav-cre; Brca1f/f (pure) >12 - 24,2/8/16,18678,Vav-cre; Brca1f/f,11/13/15,13.6,3.34,9.39,0.67,,8.27,11.8,38.1,46.1,14.3,31,18.4,626,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18679 >12 - 24,18679 >12 - 24-1,18679 >12 - 24-1,18679 >12 - 24-1,yes,12.4,Female,1,1,,,18679 >12 - 24-1,Vav-cre; Brca1f/5382insC >12 - 24,2/8/16,18679,Vav-cre; Brca1f/5382insC,11/13/15,8.74,1.34,7.03,0.33,,9.52,13.4,43.2,45.4,14.1,31,17.6,675,4.1,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18680 >12 - 24,18680 >12 - 24-1,18680 >12 - 24-1,18680 >12 - 24-1,yes,12.4,Male,1,1,,,18680 >12 - 24-1,Vav-cre; Brca1f/5382insC >12 - 24,2/8/16,18680,Vav-cre; Brca1f/5382insC,11/13/15,8.96,2.5,5.93,0.46,,9.91,13.6,41,41.4,13.7,33.2,20,544,4.3,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18869 >8 - 12,18869 >8 - 12-1,,18869 >8 - 12-1,yes,8.7,Male,1,2,,,18869 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,2/8/16,18869,Vav-cre; Brca1f/f,12/9/15,2.68,0.76,1.61,0.13,,5.44,10.5,33.9,62.3,19.3,31,20.3,698,4.8,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,
18954 -4-8,18954 -4-8-1,18954 -4-8-1,18954 -4-8-1,yes,7,Female,1,1,,,18954 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,2/8/16,18954,Vav-cre; Brca1f/f,12/21/15,7.86,1.61,5.91,0.28,,9.23,13.1,41.5,45,14.2,31.6,17.4,641,3.8,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18954
18955 -4-8,18955 -4-8-1,18955 -4-8-1,18955 -4-8-1,yes,7,Female,1,1,,,18955 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,2/8/16,18955,Vav-cre; Brca1f/f,12/21/15,6.9,1.45,5.02,0.37,,8.03,12.1,36.4,45.3,15.1,33.2,16.9,476,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18955
18956 -4-8,18956 -4-8-1,18956 -4-8-1,18956 -4-8-1,yes,7,Female,1,1,,,18956 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,2/8/16,18956,Vav-cre; Brca1f/f,12/21/15,8.44,1.77,6.36,0.29,,9.39,13.5,42.3,45.1,14.4,31.9,17.8,557,3.6,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18956
18957 -4-8,18957 -4-8-1,18957 -4-8-1,18957 -4-8-1,yes,7,Male,1,1,,,18957 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,2/8/16,18957,Vav-cre; Brca1f/f,12/21/15,7.88,1.87,5.69,0.28,,8.07,11.3,37.4,46.3,14,30.2,17.9,573,4,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18957
18959 -4-8,18959 -4-8-1,18959 -4-8-1,18959 -4-8-1,yes,7,Male,1,1,,,18959 -4-8-1,Vav-cre; Brca1f/f (pure) -4-8,2/8/16,18959,Vav-cre; Brca1f/f,12/21/15,10,2.36,7.38,0.26,,9.53,13,42.7,44.8,13.6,30.4,18.3,641,3.7,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18959
18998 -4-8,18998 -4-8-1,18998 -4-8-1,18998 -4-8-1,yes,6.2,Female,1,1,,,18998 -4-8-1,vav-cre; brca1f/+ (pure) -4-8,2/8/16,18998,Vav-cre; Brca1f/+,12/26/15,8.74,1.68,6.67,0.39,,10.36,14.7,51.4,49.6,14.2,28.6,19,765,4.2,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18998
18999 -4-8,18999 -4-8-1,18999 -4-8-1,18999 -4-8-1,yes,6.2,Female,1,1,,,18999 -4-8-1,Vav-cre; Brca15382insC/+ -4-8,2/8/16,18999,Vav-cre; Brca15382insC/+,12/26/15,7.7,0.93,6.44,0.32,,9.69,14.3,46.6,48.1,14.8,30.7,18.8,771,3.9,Motlu/+ mating,#N/A,#N/A,,Motlu/+ mating,42408,,18999
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,52.8,,,,,,,TX8-9 Vav-cre; Brca1f/+ post-1 days CY,2/9/16,16786-9-TX8,TX8-9 Vav-cre; Brca1f/+ post-1 days CY,2/4/15,3.12,1,1.95,0.11,,8.18,12.2,45.4,55.5,14.9,26.9,18.5,1312,4.5,Cyclophosphamide Experiment 2 - Day 33 overall - Mice retreated with CY 2/8 - Day 1 post-retreatment,CY,1,57,Cyclophosphamide Experiment 2 - Day 33 overall - Mice retreated with CY 2/8 - Day 1 post-retreatment,42409,,16786-9-TX8
